customer_id,churned,transactions,amount_spent,scale_transactions,scale_spent,score
FM4320,1,38,2647,0.9714285714285714,0.8972701149425287,0.9343493431855501
FM3799,1,36,2513,0.9142857142857143,0.8491379310344828,0.8817118226600985
FM3805,1,35,2453,0.8857142857142857,0.8275862068965517,0.8566502463054186
FM5752,1,33,2612,0.8285714285714286,0.884698275862069,0.8566348522167488
FM4074,1,34,2462,0.8571428571428571,0.8308189655172413,0.8439809113300492
FM1215,1,35,2362,0.8857142857142857,0.7948994252873564,0.8403068555008211
FM2620,1,35,2360,0.8857142857142857,0.7941810344827587,0.8399476600985222
FM1580,1,33,2329,0.8285714285714286,0.7830459770114943,0.8058087027914614
FM2951,1,32,2382,0.8,0.8020833333333334,0.8010416666666667
FM3163,1,31,2413,0.7714285714285715,0.8132183908045977,0.7923234811165846
FM5868,1,31,2260,0.7714285714285715,0.7582614942528736,0.7648450328407226
FM1695,1,32,2174,0.8,0.7273706896551724,0.7636853448275862
FM1865,1,31,2245,0.7714285714285715,0.7528735632183908,0.7621510673234811
FM1757,1,31,2238,0.7714285714285715,0.7503591954022989,0.7608938834154352
FM3362,1,30,2303,0.7428571428571429,0.7737068965517241,0.7582820197044335
FM3356,1,31,2221,0.7714285714285715,0.7442528735632183,0.757840722495895
FM1978,1,31,2220,0.7714285714285715,0.7438936781609196,0.7576611247947456
FM1541,1,30,2273,0.7428571428571429,0.7629310344827587,0.7528940886699508
FM4303,1,31,2181,0.7714285714285715,0.7298850574712644,0.7506568144499179
FM3165,1,30,2202,0.7428571428571429,0.7374281609195402,0.7401426518883416
FM2361,1,30,2193,0.7428571428571429,0.7341954022988506,0.7385262725779967
FM3530,1,30,2186,0.7428571428571429,0.7316810344827587,0.7372690886699508
FM4139,1,31,2099,0.7714285714285715,0.7004310344827587,0.7359298029556651
FM2482,1,31,2098,0.7714285714285715,0.7000718390804598,0.7357502052545156
FM3702,1,30,2175,0.7428571428571429,0.7277298850574713,0.7352935139573071
FM5518,1,31,2089,0.7714285714285715,0.6968390804597702,0.7341338259441708
FM1397,1,30,2156,0.7428571428571429,0.7209051724137931,0.731881157635468
FM3897,1,30,2141,0.7428571428571429,0.7155172413793104,0.7291871921182267
FM1923,1,30,2130,0.7428571428571429,0.711566091954023,0.7272116174055829
FM4603,1,30,2111,0.7428571428571429,0.7047413793103449,0.7237992610837438
FM2284,1,29,2179,0.7142857142857143,0.7291666666666666,0.7217261904761905
FM5026,1,30,2098,0.7428571428571429,0.7000718390804598,0.7214644909688013
FM5717,1,30,2068,0.7428571428571429,0.6892959770114943,0.7160765599343186
FM1367,1,29,2146,0.7142857142857143,0.7173132183908046,0.7157994663382594
FM3477,1,31,1978,0.7714285714285715,0.6569683908045977,0.7141984811165846
FM4014,1,29,2133,0.7142857142857143,0.7126436781609196,0.7134646962233169
FM1781,1,29,2131,0.7142857142857143,0.7119252873563219,0.7131055008210181
FM3842,1,29,2124,0.7142857142857143,0.7094109195402298,0.7118483169129721
FM2871,1,29,2124,0.7142857142857143,0.7094109195402298,0.7118483169129721
FM2938,1,30,2039,0.7428571428571429,0.6788793103448276,0.7108682266009853
FM3470,1,30,2035,0.7428571428571429,0.6774425287356322,0.7101498357963876
FM2702,1,29,2090,0.7142857142857143,0.697198275862069,0.7057419950738917
FM4939,1,29,2088,0.7142857142857143,0.6964798850574713,0.7053827996715928
FM5131,1,29,2083,0.7142857142857143,0.694683908045977,0.7044848111658457
FM3221,1,28,2159,0.6857142857142857,0.7219827586206896,0.7038485221674877
FM2179,1,30,1991,0.7428571428571429,0.6616379310344828,0.7022475369458128
FM4330,1,30,1990,0.7428571428571429,0.6612787356321839,0.7020679392446634
FM1373,1,30,1967,0.7428571428571429,0.6530172413793104,0.6979371921182267
FM5678,1,30,1965,0.7428571428571429,0.6522988505747126,0.6975779967159277
FM1332,1,29,2010,0.7142857142857143,0.6684626436781609,0.6913741789819376
